Fri Jun 20 19:52:39 2025    profiling-sleep.stats

         41900 function calls (41077 primitive calls) in 6.113 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      303    0.001    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/dtypes/inference.py:334(is_hashable)
      158    0.001    0.000    0.045    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/indexes/base.py:7621(ensure_index)
      265    0.001    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/construction.py:416(extract_array)
      155    0.001    0.000    0.004    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/generic.py:6320(__setattr__)
        1    0.001    0.001    0.010    0.010 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/yfinance/utils.py:351(camel2title)
      418    0.001    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
      251    0.001    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/dtypes/common.py:1409(_get_dtype)
      527    0.001    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:2154(cast)
      100    0.001    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/arrays/datetimes.py:306(_simple_new)
      197    0.001    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/generic.py:586(_get_axis)
      152    0.001    0.000    0.002    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/dtypes/common.py:1385(_is_dtype)
      451    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
        2    0.001    0.000    0.006    0.003 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/curl_cffi/requests/session.py:240(_parse_response)
       98    0.001    0.000    0.003    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/dtypes/common.py:1165(is_float_dtype)
       52    0.001    0.000    0.004    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/internals/managers.py:317(apply)
       47    0.001    0.000    0.003    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/indexing.py:744(_get_setitem_indexer)
      100    0.001    0.000    0.004    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/generic.py:807(_set_axis)
      108    0.001    0.000    0.014    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/construction.py:481(ensure_wrapped_if_datetimelike)
       51    0.001    0.000    0.002    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/numpy/_core/numeric.py:2524(array_equal)
      258    0.001    0.000    0.001    0.000 {built-in method numpy.empty}
  318/317    0.001    0.000    0.001    0.000 {built-in method numpy.asarray}
       47    0.001    0.000    0.006    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/indexing.py:2348(_align_series)
        2    0.001    0.000    0.001    0.001 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/curl_cffi/requests/utils.py:155(unquote_unreserved)
      282    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      146    0.001    0.000    0.002    0.000 {built-in method builtins.all}
     25/9    0.001    0.000    0.002    0.000 /usr/lib/python3.12/re/_compiler.py:37(_compile)
       97    0.001    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/dtypes/cast.py:1589(construct_1d_object_array_from_listlike)
      410    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
      103    0.001    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/generic.py:278(__init__)
       98    0.001    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/arrays/datetimelike.py:2564(dtype_to_unit)
       49    0.001    0.000    0.014    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/indexes/datetimes.py:320(__new__)
      196    0.001    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/arrays/datetimes.py:2587(_validate_tz_from_dtype)
      114    0.001    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/dtypes/common.py:1444(_is_dtype_type)
      184    0.001    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/indexes/extension.py:67(fget)
      359    0.001    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/arrays/datetimes.py:553(dtype)
       59    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        4    0.000    0.000    0.000    0.000 {method 'execute' of 'sqlite3.Cursor' objects}
       50    0.000    0.000    0.003    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/internals/managers.py:1863(from_array)
       98    0.000    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/arrays/datetimes.py:2531(_validate_dt64_dtype)
       10    0.000    0.000    0.002    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/curl_cffi/requests/headers.py:84(__init__)
      106    0.000    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/construction.py:693(_sanitize_ndim)
       45    0.000    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/curl_cffi/curl.py:68(buffer_callback)
       59    0.000    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/numpy/_core/_dtype.py:342(_name_get)
       51    0.000    0.000    0.005    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/internals/managers.py:372(setitem)
      149    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/generic.py:6303(__getattr__)
       47    0.000    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/indexing.py:1452(_convert_to_indexer)
      100    0.000    0.000    0.002    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/internals/base.py:86(_validate_set_axis)
   131/14    0.000    0.000    0.002    0.000 <frozen abc>:121(__subclasscheck__)
      196    0.000    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/dtypes/common.py:1600(<genexpr>)
      130    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:261(get)
      100    0.000    0.000    0.001    0.000 {method 'join' of 'str' objects}
       48    0.000    0.000    0.062    0.001 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/series.py:607(_init_dict)
       50    0.000    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/internals/blocks.py:2718(maybe_coerce_values)
       98    0.000    0.000    0.002    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/series.py:784(name)
       51    0.000    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/_config/config.py:127(_get_single_key)
      104    0.000    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/indexes/base.py:5335(__contains__)
      257    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/_config/__init__.py:34(using_copy_on_write)
       30    0.000    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/curl_cffi/curl.py:168(setopt)
