Fri Jun 20 19:52:39 2025    profiling-sleep.stats

         41900 function calls (41077 primitive calls) in 6.113 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       51    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/_config/config.py:635(_get_root)
        9    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/_compiler.py:511(_compile_info)
       45    0.000    0.000    0.000    0.000 {method 'write' of '_io.BytesIO' objects}
        5    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/_parser.py:996(parse_template)
        1    0.000    0.000    0.000    0.000 {built-in method _sqlite3.connect}
      112    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/dtypes/common.py:123(classes)
      111    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/indexes/base.py:832(_reset_identity)
       47    0.000    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/array_algos/putmask.py:129(setitem_datetimelike_compat)
      101    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
      102    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       60    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/series.py:831(_values)
      119    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
      103    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/flags.py:51(__init__)
       49    0.000    0.000    0.013    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/arrays/datetimes.py:327(_from_sequence)
    38/22    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:178(getwidth)
       98    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/arrays/datetimelike.py:2090(_maybe_pin_freq)
       18    0.000    0.000    0.001    0.000 /usr/lib/python3.12/enum.py:1562(__and__)
       53    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/common.py:372(apply_if_callable)
       51    0.000    0.000    0.001    0.000 {method 'all' of 'numpy.ndarray' objects}
       99    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/dtypes/cast.py:1778(np_can_hold_element)
       54    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/indexes/base.py:792(is_)
       51    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/_config/config.py:676(_translate_key)
       53    0.000    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/numpy/_core/_methods.py:66(_all)
       50    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/frame.py:4628(_clear_item_cache)
       94    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/internals/managers.py:291(arrays)
       45    0.000    0.000    0.000    0.000 /usr/lib/python3.12/urllib/parse.py:865(__missing__)
       13    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/curl_cffi/requests/headers.py:125(encoding)
       53    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:293(tell)
       54    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:176(append)
       14    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/peewee.py:632(__call__)
      105    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       47    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/dtypes/cast.py:761(infer_dtype_from)
        9    0.000    0.000    0.007    0.001 /usr/lib/python3.12/re/_compiler.py:740(compile)
       48    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/internals/managers.py:241(is_single_block)
       12    0.000    0.000    0.001    0.000 /usr/lib/python3.12/urllib/parse.py:947(quote_from_bytes)
       96    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/generic.py:696(ndim)
       47    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/errors/__init__.py:535(_check_cacher)
       38    0.000    0.000    0.000    0.000 {built-in method curl_cffi._wrapper._curl_easy_setopt}
        1    0.000    0.000    0.005    0.005 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/internals/construction.py:423(dict_to_mgr)
       47    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/dtypes/cast.py:878(infer_dtype_from_array)
     18/9    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:436(_get_literal_prefix)
       47    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/indexes/base.py:541(<genexpr>)
       98    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/series.py:1489(_clear_item_cache)
        1    0.000    0.000    0.003    0.003 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/yfinance/base.py:51(__init__)
       47    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/indexing.py:2684(convert_missing_indexer)
       47    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/strings/object_array.py:208(<lambda>)
       17    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:216(_compile_charset)
       70    0.000    0.000    0.000    0.000 {method 'strip' of 'bytes' objects}
       50    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       44    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:83(groups)
        4    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/indexes/base.py:843(_engine)
       36    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/peewee.py:592(__getattr__)
       54    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/indexes/base.py:592(_ensure_array)
      6/3    0.000    0.000    0.002    0.001 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/peewee.py:1894(__sql__)
        1    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/strings/object_array.py:46(_str_map)
       31    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       66    0.000    0.000    0.000    0.000 {method 'lower' of 'bytes' objects}
        9    0.000    0.000    0.004    0.000 /usr/lib/python3.12/re/_parser.py:969(parse)
       14    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/peewee.py:1611(__sql__)
       33    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/curl_cffi/requests/headers.py:59(normalize_header_value)
       56    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/frozendict/monkeypatch.py:149(frozendictMutableMappingSubclasshook)
        6    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/curl_cffi/requests/cookies.py:42(from_curl_format)
        2    0.000    0.000    0.978    0.489 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/curl_cffi/requests/session.py:487(request)
       63    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       51    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/internals/blocks.py:261(_standardize_fill_value)
       10    0.000    0.000    0.000    0.000 /usr/lib/python3.12/logging/__init__.py:1377(getLogger)
        3    0.000    0.000    0.002    0.001 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/indexes/base.py:3827(get_indexer)
       54    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/dtypes/common.py:531(is_string_or_object_np_dtype)
       32    0.000    0.000    0.000    0.000 {method 'new' of '_cffi_backend.FFI' objects}
       57    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       58    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/curl_cffi/curl.py:157(_get_error)
       59    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/numpy/_core/_dtype.py:326(_name_includes_bit_suffix)
       45    0.000    0.000    0.000    0.000 {method 'from_handle' of '_cffi_backend.FFI' objects}
        1    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/numpy/_core/numeric.py:2373(isclose)
        6    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/generic.py:6255(__finalize__)
       27    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
       53    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       59    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/numpy/_core/_dtype.py:23(_kind_name)
        2    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/curl_cffi/requests/headers.py:214(get_list)
       47    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
        2    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/curl_cffi/requests/session.py:333(__init__)
        1    0.000    0.000    1.098    1.098 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/yfinance/scrapers/fundamentals.py:110(_create_financials_table)
        7    0.000    0.000    0.000    0.000 {built-in method posix.stat}
       12    0.000    0.000    0.001    0.000 /usr/lib/python3.12/urllib/parse.py:871(quote)
       14    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/peewee.py:578(__call__)
       48    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       31    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:164(__len__)
        2    0.000    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/arrays/datetimelike.py:675(_validate_listlike)
       51    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/_config/config.py:617(_select_options)
       55    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/internals/managers.py:1837(__init__)
       48    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/indexing.py:305(loc)
        4    0.000    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/indexing.py:2529(__setitem__)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.12/http/cookiejar.py:1734(clear_expired_cookies)
        4    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
       55    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/internals/managers.py:1940(_block)
       13    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:86(opengroup)
       57    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        9    0.000    0.000    0.003    0.000 /usr/lib/python3.12/re/_compiler.py:573(_code)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.12/urllib/parse.py:974(urlencode)
       44    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
       47    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/indexing.py:161(iloc)
       14    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/peewee.py:651(__exit__)
        1    0.000    0.000    6.113    6.113 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/financial.py:7(main)
        1    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/yfinance/data.py:83(_set_session)
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.12/logging/__init__.py:1914(debug)
       22    0.000    0.000    0.000    0.000 {built-in method curl_cffi._wrapper.curl_easy_getinfo}
       51    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/_config/config.py:649(_get_deprecated_option)
       48    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/indexing.py:1165(_check_deprecated_callable_usage)
       33    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
        4    0.000    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/peewee.py:1342(__sql__)
        3    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/common.py:231(asarray_tuplesafe)
       50    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
       51    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.12/http/cookiejar.py:761(__init__)
        9    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/yfinance/utils.py:80(get_indented_logger)
       51    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/internals/blocks.py:831(_maybe_copy)
       22    0.000    0.000    0.000    0.000 /usr/lib/python3.12/http/cookies.py:195(_unquote)
       27    0.000    0.000    0.000    0.000 /usr/lib/python3.12/logging/__init__.py:1790(isEnabledFor)
       51    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/numpy/_core/numeric.py:2505(_array_equal_dispatcher)
       14    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/peewee.py:421(quote)
       47    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/generic.py:4406(_check_is_chained_assignment_possible)
        3    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/peewee.py:4875(ddl)
        6    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/curl_cffi/requests/cookies.py:99(to_cookiejar_cookie)
       51    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/internals/managers.py:913(__init__)
       41    0.000    0.000    0.000    0.000 <frozen _collections_abc>:435(__subclasshook__)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.12/http/cookiejar.py:1261(__init__)
        1    0.000    0.000    0.001    0.001 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/tools/datetimes.py:487(_to_datetime_with_unit)
       23    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       14    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/peewee.py:597(inner)
       14    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:231(__init__)
       14    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/dtypes/common.py:139(is_object_dtype)
       15    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:449(_uniq)
        1    0.000    0.000    0.002    0.002 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/peewee.py:2526(__sql__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/urllib/parse.py:469(urlsplit)
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:726(__call__)
        2    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/curl_cffi/requests/cookies.py:167(get_cookies_for_curl)
       47    0.000    0.000    0.000    0.000 {built-in method sys.getrefcount}
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.12/http/cookies.py:291(__setitem__)
       17    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/peewee.py:575(__new__)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:175(_type_check)
       15    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:1004(addliteral)
        1    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/internals/managers.py:708(_slice_take_blocks_ax0)
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.12/logging/__init__.py:1964(isEnabledFor)
       47    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/indexing.py:1248(_has_valid_setitem_indexer)
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.12/logging/__init__.py:1955(log)
        2    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/curl_cffi/requests/session.py:165(__init__)
        1    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/internals/managers.py:2190(_form_blocks)
        4    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/curl_cffi/requests/headers.py:246(__getitem__)
       48    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/indexes/base.py:6688(_maybe_cast_indexer)
        1    0.000    0.000    0.001    0.001 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/peewee.py:5974(_create_table)
        6    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/dtypes/cast.py:1528(construct_1d_arraylike_from_scalar)
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.12/http/cookiejar.py:1667(set_cookie)
        5    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/arrays/datetimes.py:647(__iter__)
        6    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/curl_cffi/requests/cookies.py:134(__init__)
        1    0.000    0.000    0.006    0.006 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/frame.py:694(__init__)
       10    0.000    0.000    0.000    0.000 /usr/lib/python3.12/logging/__init__.py:2149(getLogger)
        3    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/indexes/base.py:5564(equals)
        1    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/peewee.py:7800(_initialize_columns)
        3    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/curl_cffi/requests/cookies.py:191(set)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       12    0.000    0.000    0.000    0.000 {method 'rstrip' of 'bytes' objects}
       14    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/peewee.py:1599(__init__)
       33    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/peewee.py:620(scope)
        1    0.000    0.000    0.003    0.003 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/tools/datetimes.py:678(to_datetime)
        3    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/indexes/base.py:3962(_get_indexer)
        6    0.000    0.000    0.001    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/peewee.py:1050(__sql__)
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:570(isstring)
       10    0.000    0.000    0.001    0.000 /usr/lib/python3.12/urllib/parse.py:925(quote_plus)
        1    0.000    0.000    0.002    0.002 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/curl_cffi/requests/utils.py:91(update_url_params)
       28    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/arrays/datetimes.py:925(tz_localize)
       14    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/peewee.py:646(__enter__)
        3    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/peewee.py:674(value)
        5    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/peewee.py:543(add)
       27    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        6    0.000    0.000    0.002    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/dtypes/missing.py:184(_isna)
       12    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/peewee.py:426(<lambda>)
        4    0.000    0.000    0.000    0.000 /home/sevinch/school21 projects/DS_Bootcamp.Day03.ID_886513-1/src/ex04/lomasdar/lib/python3.12/site-packages/pandas/core/indexing.py:2518(__getitem__)
